variant,seed,ndcg@5,ndcg@10,ndcg@20,recall@5,recall@10,recall@20,hr@5,hr@10,hr@20,n_users,cold_ndcg@10,cold_recall@10,cold_hr@10,cold_n_users,rmse,mae
llm_init,123,0.24675826854040642,0.2298803004959387,0.22004614600666544,0.04069096879461003,0.06644920481757363,0.11120444077349938,0.5599194360523666,0.6586102719033232,0.7542799597180262,993.0,0.025068656689028385,0.05640723270440251,0.09433962264150944,106.0,,
llm_init,2024,0.24249725106390901,0.22841916191040695,0.21640759668107115,0.04127432682315826,0.06521910829777885,0.10697942588959088,0.5579053373615307,0.6586102719033232,0.7472306143001007,993.0,0.029702067871412816,0.07055817610062894,0.11320754716981132,106.0,,
semmf_mse_fixed,42,0.22823139132918993,0.21604979850867953,0.20739446329624792,0.03773520543818574,0.06421087805947358,0.10712853936469774,0.5347432024169184,0.6445115810674723,0.7472306143001007,993.0,0.024009217411377883,0.04009433962264151,0.05660377358490566,106.0,,
semmf_mse_fixed,123,0.23676102978792316,0.22322723312606932,0.212176546204225,0.03858130583176866,0.06430198906832622,0.10732071495855347,0.5367573011077543,0.6455186304128903,0.7512588116817724,993.0,0.015181505750799844,0.03773584905660377,0.04716981132075472,106.0,,
semmf_mse_fixed,2024,0.23298867968329973,0.221065236279249,0.2103636255047486,0.03924128986044326,0.06306695190479382,0.10522053840881267,0.5377643504531722,0.6606243705941591,0.7472306143001007,993.0,0.044509343407736934,0.08608490566037735,0.11320754716981132,106.0,,
semmf_mse_adaptive,42,0.24355341028894115,0.23007984056918454,0.21981689180443953,0.03974522883139884,0.06874716139453368,0.11405077193326477,0.5468277945619335,0.6646525679758308,0.7603222557905337,993.0,0.04154080955900707,0.07252358490566038,0.10377358490566038,106.0,,
semmf_mse_adaptive,123,0.23919496698650985,0.2255142935730187,0.21496282635797345,0.03816499561041591,0.06386609776739095,0.10617525778000872,0.5397784491440081,0.6465256797583081,0.7482376636455186,993.0,0.02618846673384563,0.04658018867924528,0.07547169811320754,106.0,,
semmf_mse_adaptive,2024,0.2438257923724931,0.2330754998110702,0.22191003285898045,0.039069636071496196,0.07035641790136879,0.11401257811125236,0.5478348439073515,0.675730110775428,0.7693856998992951,993.0,0.039699896889392385,0.08824685534591196,0.12264150943396226,106.0,,
semmf_infonce,42,0.24059769932077293,0.22682610915762946,0.21553784228523246,0.04015800229656987,0.06498746106315628,0.1060855936464555,0.5468277945619335,0.6565961732124874,0.7462235649546828,993.0,0.03749534890718378,0.05011792452830189,0.09433962264150944,106.0,,
semmf_infonce,123,0.2478103020914458,0.23251231696430413,0.22085491624758036,0.04162815739934191,0.0675022383337409,0.11182195834208207,0.5619335347432024,0.6686807653575025,0.7613293051359517,993.0,0.037138108745498076,0.046973270440251576,0.08490566037735849,106.0,,
semmf_infonce,2024,0.24616716270150046,0.2311526666807313,0.21835912812096286,0.04180040783874093,0.0663771891653904,0.10885506893261893,0.552870090634441,0.6596173212487412,0.7552870090634441,993.0,0.02441122236590716,0.05483490566037736,0.08490566037735849,106.0,,
lightgcn,42,0.1885393636429416,0.1713609527738495,0.16326474392655754,0.03285355857246366,0.05232348029610617,0.08742534734574288,0.49244712990936557,0.5891238670694864,0.675730110775428,993.0,0.0008032369588832171,0.0005896226415094339,0.009433962264150943,106.0,,
lightgcn,123,0.18696479670477817,0.1712956303213839,0.16418112396547085,0.03147286938427643,0.05348840832541013,0.09064935871903831,0.47935548841893255,0.581067472306143,0.6978851963746223,993.0,0.016699402811091408,0.01768867924528302,0.03773584905660377,106.0,,
lightgcn,2024,0.1907203795186773,0.17579165165564428,0.16534758939613914,0.030526542067292793,0.05335163759887599,0.08971978511651439,0.47532729103726085,0.581067472306143,0.6847935548841894,993.0,0.013807199071631698,0.012971698113207548,0.03773584905660377,106.0,,
